timepoint model testSet feature importance
1.0 random 0 random 1.0
1.0 random 1 random 1.0
1.0 random 2 random 1.0
1.0 random 3 random 1.0
1.0 random 4 random 1.0
1.0 random 5 random 1.0
1.0 random 6 random 1.0
1.0 random 7 random 1.0
1.0 random 8 random 1.0
1.0 random 9 random 1.0
1.0 past 0 friends 1.0
1.0 past 1 friends 1.0
1.0 past 2 friends 1.0
1.0 past 3 friends 1.0
1.0 past 4 friends 1.0
1.0 past 5 friends 1.0
1.0 past 6 friends 1.0
1.0 past 7 friends 1.0
1.0 past 8 friends 1.0
1.0 past 9 friends 1.0
1.0 base 0 timeSpent 0.879729067697
1.0 base 0 friends 0.120270932303
1.0 base 1 timeSpent 0.878987682914
1.0 base 1 friends 0.121012317086
1.0 base 2 timeSpent 0.877524981788
1.0 base 2 friends 0.122475018212
1.0 base 3 timeSpent 0.872555197477
1.0 base 3 friends 0.127444802523
1.0 base 4 timeSpent 0.870058059462
1.0 base 4 friends 0.129941940538
1.0 base 5 timeSpent 0.877175493567
1.0 base 5 friends 0.122824506433
1.0 base 6 timeSpent 0.880937433603
1.0 base 6 friends 0.119062566397
1.0 base 7 timeSpent 0.876979693318
1.0 base 7 friends 0.123020306682
1.0 base 8 timeSpent 0.875336579543
1.0 base 8 friends 0.124663420457
1.0 base 9 timeSpent 0.87505756026
1.0 base 9 friends 0.12494243974
1.0 networkOnly 0 jaccard 0.0484364321171
1.0 networkOnly 0 adamicAdar 0.0507954913291
1.0 networkOnly 0 PA 0.0936743219074
1.0 networkOnly 0 propScores 0.751812909191
1.0 networkOnly 0 resourceAllocation 0.0552808454551
1.0 networkOnly 1 jaccard 0.0534198197816
1.0 networkOnly 1 adamicAdar 0.0506627036635
1.0 networkOnly 1 PA 0.0972412468823
1.0 networkOnly 1 propScores 0.739600546933
1.0 networkOnly 1 resourceAllocation 0.0590756827396
1.0 networkOnly 2 jaccard 0.053479117014
1.0 networkOnly 2 adamicAdar 0.0543299876469
1.0 networkOnly 2 PA 0.0950011163885
1.0 networkOnly 2 propScores 0.74025637126
1.0 networkOnly 2 resourceAllocation 0.0569334076901
1.0 networkOnly 3 jaccard 0.0524841388721
1.0 networkOnly 3 adamicAdar 0.0514982390736
1.0 networkOnly 3 PA 0.0956025829572
1.0 networkOnly 3 propScores 0.744017848004
1.0 networkOnly 3 resourceAllocation 0.0563971910928
1.0 networkOnly 4 jaccard 0.051385468809
1.0 networkOnly 4 adamicAdar 0.0509891934673
1.0 networkOnly 4 PA 0.0958763780521
1.0 networkOnly 4 propScores 0.74742820757
1.0 networkOnly 4 resourceAllocation 0.0543207521017
1.0 networkOnly 5 jaccard 0.0495955074011
1.0 networkOnly 5 adamicAdar 0.0510519557884
1.0 networkOnly 5 PA 0.0933759174367
1.0 networkOnly 5 propScores 0.751946962882
1.0 networkOnly 5 resourceAllocation 0.0540296564918
1.0 networkOnly 6 jaccard 0.0531852711059
1.0 networkOnly 6 adamicAdar 0.0510061555389
1.0 networkOnly 6 PA 0.0959544049469
1.0 networkOnly 6 propScores 0.744767198043
1.0 networkOnly 6 resourceAllocation 0.0550869703655
1.0 networkOnly 7 jaccard 0.050896605993
1.0 networkOnly 7 adamicAdar 0.0522994841417
1.0 networkOnly 7 PA 0.0944284209105
1.0 networkOnly 7 propScores 0.745396819454
1.0 networkOnly 7 resourceAllocation 0.0569786695006
1.0 networkOnly 8 jaccard 0.0513637488916
1.0 networkOnly 8 adamicAdar 0.0519128479354
1.0 networkOnly 8 PA 0.0940053372077
1.0 networkOnly 8 propScores 0.747244379123
1.0 networkOnly 8 resourceAllocation 0.0554736868421
1.0 networkOnly 9 jaccard 0.0509059566359
1.0 networkOnly 9 adamicAdar 0.0509607660263
1.0 networkOnly 9 PA 0.0926479776846
1.0 networkOnly 9 propScores 0.749394813448
1.0 networkOnly 9 resourceAllocation 0.0560904862048
1.0 network 0 timeSpent 0.326598271225
1.0 network 0 friends 0.0622921152539
1.0 network 0 jaccard 0.0475799437009
1.0 network 0 adamicAdar 0.0445825017759
1.0 network 0 PA 0.0811940817591
1.0 network 0 propScores 0.388365999015
1.0 network 0 resourceAllocation 0.0493870872694
1.0 network 1 timeSpent 0.328473609415
1.0 network 1 friends 0.0610305040313
1.0 network 1 jaccard 0.0498576558245
1.0 network 1 adamicAdar 0.0478620788018
1.0 network 1 PA 0.0827659721791
1.0 network 1 propScores 0.381098599258
